CountryCode,country-code,iso_3166-2,region-code,sub-region-code,F1,CountryName,region,sub-region,Inequality,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education
JPN,392,ISO 3166-2:JP,142,30,97,Japan,Asia,Eastern Asia,Men,,,,,83,81.1,0.2,,,,2.4,81,5.8,1.38,,85,,37,,531,,,88,16.4
JPN,392,ISO 3166-2:JP,142,30,96,Japan,Asia,Eastern Asia,Low,,,,,,,,,,,4.35,,,,,88,,28,,489,,,,
JPN,392,ISO 3166-2:JP,142,30,95,Japan,Asia,Eastern Asia,High,,,,,,,,,,,2.65,,,,,,,39,,568,,,,
KOR,410,ISO 3166-2:KR,142,30,167,South Korea,Asia,Eastern Asia,Women,,,85,,57,60,1,,,,2.1,85.4,6.1,0.05,,81,,29,,529,14,,76,16.7
KOR,410,ISO 3166-2:KR,142,30,166,South Korea,Asia,Eastern Asia,Total,28,2.5,88,,67,66.6,1,21882,285980,15,2.6,82.4,5.9,0.05,35191,78,1.5,33,2.9,519,14.7,77,76,17.3
KOR,410,ISO 3166-2:KR,142,30,165,South Korea,Asia,Eastern Asia,Men,,,90,,76,73.4,1,,,,3.1,79.3,5.6,0.05,,76,,36,,510,15.05,,76,17.8
KOR,410,ISO 3166-2:KR,142,30,164,South Korea,Asia,Eastern Asia,Low,,,,,,,,,,,1.11,,,,,,,29,,480,,,,
KOR,410,ISO 3166-2:KR,142,30,163,South Korea,Asia,Eastern Asia,High,,,,,,,,,,,2.6,,,,,,,38,,562,,,,
LVA,428,ISO 3166-2:LV,150,154,104,Latvia,Europe,Northern Europe,Women,,,91,0.87,68,54.4,2.8,,,,8,79.6,6,2.65,,89,,43,,496,13.45,,80,18.7
LVA,428,ISO 3166-2:LV,150,154,103,Latvia,Europe,Northern Europe,Total,11,13.9,88,1.27,70,62.4,4.8,16275,70160,23,9.6,74.7,5.9,3.35,23683,86,1.2,47,2.2,487,13.83,59,79,18
LVA,428,ISO 3166-2:LV,150,154,102,Latvia,Europe,Northern Europe,Men,,,84,1.7,72,72.4,7.2,,,,11.1,69.8,5.9,4.06,,83,,53,,478,14.2,,79,17.4
LVA,428,ISO 3166-2:LV,150,154,101,Latvia,Europe,Northern Europe,Low,,,,,,,,,,,23.29,,5.4,,,82,,28,,456,,,,
LVA,428,ISO 3166-2:LV,150,154,100,Latvia,Europe,Northern Europe,High,,,,,,,,,,,4.59,,6.5,,,91,,69,,521,,,,
LTU,440,ISO 3166-2:LT,150,154,109,Lithuania,Europe,Northern Europe,Women,,,95,0.43,70,51.2,1.7,,,,,80.1,6,2.18,,88,,40,,483,,,82,18.8
LTU,440,ISO 3166-2:LT,150,154,108,Lithuania,Europe,Northern Europe,Total,14,13.6,93,0.54,70,55.9,3.4,21660,,19,,74.8,5.9,2.69,24287,88,1.5,43,2.4,475,,51,81,18.4
LTU,440,ISO 3166-2:LT,150,154,107,Lithuania,Europe,Northern Europe,Men,,,90,0.67,71,61.6,5.2,,,,,69.5,5.9,3.22,,87,,49,,468,,,79,18
LTU,440,ISO 3166-2:LT,150,154,106,Lithuania,Europe,Northern Europe,Low,,,,,,,,,,,,,5.6,,,87,,29,,438,,,,
LTU,440,ISO 3166-2:LT,150,154,105,Lithuania,Europe,Northern Europe,High,,,,,,,,,,,,,6.5,,,92,,67,,519,,,,
LUX,442,ISO 3166-2:LU,150,155,114,Luxembourg,Europe,Western Europe,Women,,,76,1.88,63,71.5,0.5,,,,1.9,85.4,6.8,1.99,,92,,67,,484,,,83,15.2
LUX,442,ISO 3166-2:LU,150,155,113,Luxembourg,Europe,Western Europe,Total,12,0.5,77,3.82,66,75.8,0.6,39264,769053,21,1.7,82.8,6.9,2.35,63062,93,1.9,69,1.7,483,,91,84,15.1
LUX,442,ISO 3166-2:LU,150,155,112,Luxembourg,Europe,Western Europe,Men,,,77,5.52,70,80.3,0.6,,,,1.4,80.1,7,2.69,,94,,72,,483,,,85,15
LUX,442,ISO 3166-2:LU,150,155,111,Luxembourg,Europe,Western Europe,Low,,,,,,,,,,,1.59,,,,,,,65,,428,,,,
LUX,442,ISO 3166-2:LU,150,155,110,Luxembourg,Europe,Western Europe,High,,,,,,,,,,,2.02,,,,,,,74,,549,,,,
MEX,484,ISO 3166-2:MX,19,13,119,Mexico,Americas,Central America,Women,,,37,17.61,45,38.3,3.9,,,,5.5,77.9,6.5,0.07,,83,,64,,416,,,68,15.3
MEX,484,ISO 3166-2:MX,19,13,118,Mexico,Americas,Central America,Total,16,25.5,38,28.7,61,41.8,18.1,,,20,5.5,75.4,6.5,0.07,15314,81,1,66,3.2,416,,63,68,15.2
MEX,484,ISO 3166-2:MX,19,13,117,Mexico,Americas,Central America,Men,,,38,35.53,79,45.8,33.9,,,,5.5,72.9,6.4,0.06,,79,,67,,416,,,67,15
MEX,484,ISO 3166-2:MX,19,13,116,Mexico,Americas,Central America,Low,,,,,,,,,,,4.22,,,,,78,,,,385,,,,
MEX,484,ISO 3166-2:MX,19,13,115,Mexico,Americas,Central America,High,,,,,,,,,,,6.26,,,,,87,,,,447,,,,
NLD,528,ISO 3166-2:NL,150,155,124,Netherlands,Europe,Western Europe,Women,,,78,0.09,71,72.8,0.4,,,,4.7,83.2,7.5,2.15,,90,,73,,511,,,92,18.7
NLD,528,ISO 3166-2:NL,150,155,123,Netherlands,Europe,Western Europe,Total,14,0.1,78,0.42,76,82,0.6,29333,157824,19,4.8,81.6,7.4,1.97,52877,91,1.9,76,2.6,508,,82,93,18.7
NLD,528,ISO 3166-2:NL,150,155,122,Netherlands,Europe,Western Europe,Men,,,79,0.73,80,91.4,0.8,,,,4.9,80,7.4,1.81,,92,,79,,505,,,94,18.6
NLD,528,ISO 3166-2:NL,150,155,121,Netherlands,Europe,Western Europe,Low,,,,,,,,,,,7.18,,,,,,,65,,468,,,,
NLD,528,ISO 3166-2:NL,150,155,120,Netherlands,Europe,Western Europe,High,,,,,,,,,,,3.07,,7.7,,,,,86,,556,,,,
NZL,554,ISO 3166-2:NZ,9,53,129,New Zealand,Oceania,Australia and New Zealand,Women,,,79,8.63,72,51.8,0.7,,,,,83.4,7.4,0.75,,96,,88,,509,14.95,,87,18.2
NZL,554,ISO 3166-2:NZ,9,53,128,New Zealand,Oceania,Australia and New Zealand,Total,5,,79,15.11,77,65.7,1.3,,388514,26,4.7,81.7,7.3,0.74,40043,96,2.4,88,2.5,506,14.87,80,89,17.7
NZL,554,ISO 3166-2:NZ,9,53,127,New Zealand,Oceania,Australia and New Zealand,Men,,,78,21.37,82,81.3,1.9,,,,,80,7.2,0.72,,95,,88,,503,14.83,,91,17.2
NZL,554,ISO 3166-2:NZ,9,53,126,New Zealand,Oceania,Australia and New Zealand,Low,,,,,,,,,,,,,,,,,,,,459,,,,
NZL,554,ISO 3166-2:NZ,9,53,125,New Zealand,Oceania,Australia and New Zealand,High,,,,,,,,,,,,,,,,98,,93,,554,,,,
NOR,578,ISO 3166-2:NO,150,154,134,Norway,Europe,Northern Europe,Women,,,83,1.34,72,83.5,0.5,,,,,84.2,7.6,0.51,,94,,75,,511,15.65,,97,18.8
NOR,578,ISO 3166-2:NO,150,154,133,Norway,Europe,Northern Europe,Total,5,0,82,2.93,74,90.1,0.4,35725,228936,17,,82.5,7.6,0.66,51212,94,2.1,77,2.2,504,15.56,78,98,18.3
NOR,578,ISO 3166-2:NO,150,154,132,Norway,Europe,Northern Europe,Men,,,81,4.39,76,96.5,0.3,,,,,80.7,7.6,0.8,,95,,79,,498,15.48,,98,17.9
NOR,578,ISO 3166-2:NO,150,154,131,Norway,Europe,Northern Europe,Low,,,,,,,,,,,,,7.5,,,91,,69,,472,,,,
NOR,578,ISO 3166-2:NO,150,154,130,Norway,Europe,Northern Europe,High,,,,,,,,,,,,,7.8,,,96,,86,,539,,,,
POL,616,ISO 3166-2:PL,150,151,139,Poland,Europe,Eastern Europe,Women,,,92,2.28,59,61.2,0.4,,,,5.3,82,6.2,1.47,,88,,56,,506,14.08,,81,18.4
POL,616,ISO 3166-2:PL,150,151,138,Poland,Europe,Eastern Europe,Total,22,3,92,5.95,66,67.3,0.7,19814,210991,22,5.7,78,6.1,1.52,27046,86,1.1,58,2.6,504,14.42,55,82,17.6
POL,616,ISO 3166-2:PL,150,151,137,Poland,Europe,Eastern Europe,Men,,,92,9.24,73,73.9,1.1,,,,6,73.9,6,1.55,,84,,62,,502,14.67,,83,17
POL,616,ISO 3166-2:PL,150,151,136,Poland,Europe,Eastern Europe,Low,,,,,,,,,,,15,,,,,,,52,,466,,,,
POL,616,ISO 3166-2:PL,150,151,135,Poland,Europe,Eastern Europe,High,,,,,,,,,,,2.92,,,,,,,72,,549,,,,
PRT,620,ISO 3166-2:PT,150,39,144,Portugal,Europe,Southern Europe,Women,,,52,5.46,65,63.1,1,,,,9.7,84.3,5.5,4.61,,87,,43,,496,,,86,17
PRT,620,ISO 3166-2:PT,150,39,143,Portugal,Europe,Southern Europe,Total,10,1,48,8.27,68,73.4,1,21203,232666,21,10,81.2,5.4,4.43,25367,88,1.7,48,1.5,497,,56,86,16.9
PRT,620,ISO 3166-2:PT,150,39,142,Portugal,Europe,Southern Europe,Men,,,43,11.29,71,84.8,1,,,,10.2,78.1,5.4,4.25,,88,,53,,497,,,87,16.9
PRT,620,ISO 3166-2:PT,150,39,141,Portugal,Europe,Southern Europe,Low,,,,,,,,,,,10.76,,4.7,,,84,,36,,456,,,,
PRT,620,ISO 3166-2:PT,150,39,140,Portugal,Europe,Southern Europe,High,,,,,,,,,,,7.46,,6.4,,,93,,61,,551,,,,
RUS,643,ISO 3166-2:RU,150,151,149,Russia,Europe,Eastern Europe,Women,,,95,0.05,65,44.5,4.2,,,,,77.1,5.8,1.57,,90,,38,,494,,,53,16.4
RUS,643,ISO 3166-2:RU,150,151,148,Russia,Europe,Eastern Europe,Total,15,14.8,94,0.14,70,52.8,9.6,,,18,,71.8,5.8,1.59,,89,0.9,43,,492,,68,55,16.2
RUS,643,ISO 3166-2:RU,150,151,147,Russia,Europe,Eastern Europe,Men,,,93,0.23,76,63.1,16,,,,,66.5,5.9,1.6,,89,,49,,489,,,58,16
RUS,643,ISO 3166-2:RU,150,151,146,Russia,Europe,Eastern Europe,Low,,,,,,,,,,,,,5.7,,,,,,,464,,,,
RUS,643,ISO 3166-2:RU,150,151,145,Russia,Europe,Eastern Europe,High,,,,,,,,,,,,,6.2,,,92,,,,520,,,,
SVK,703,ISO 3166-2:SK,150,151,154,Slovakia,Europe,Eastern Europe,Women,,,90,2.04,60,55.9,0.6,,,,11.4,80.7,6.1,4.63,,91,,63,,468,,,85,16.2
SVK,703,ISO 3166-2:SK,150,151,153,Slovakia,Europe,Eastern Europe,Total,21,1.2,91,4.14,66,63.5,0.8,20474,119696,23,9.9,77.3,6.2,4.78,24328,91,1.1,66,3,463,,60,85,15.8
SVK,703,ISO 3166-2:SK,150,151,152,Slovakia,Europe,Eastern Europe,Men,,,93,6.04,72,71.7,1,,,,8.4,73.8,6.3,4.91,,91,,70,,458,,,84,15.3
SVK,703,ISO 3166-2:SK,150,151,151,Slovakia,Europe,Eastern Europe,Low,,,,,,,,,,,72.16,,,,,,,64,,414,,,,
SVK,703,ISO 3166-2:SK,150,151,150,Slovakia,Europe,Eastern Europe,High,,,,,,,,,,,5.02,,7.1,,,93,,80,,514,,,,
SVN,705,ISO 3166-2:SI,150,39,159,Slovenia,Europe,Southern Europe,Women,,,87,2.41,66,79.3,0.7,,,,6.5,84.3,5.9,3.26,,92,,61,,517,14.17,,89,19.1
SVN,705,ISO 3166-2:SI,150,39,158,Slovenia,Europe,Southern Europe,Total,16,0.4,88,4.39,69,86.1,0.6,20820,203044,18,5.8,81.3,5.9,3.17,34933,92,1.5,64,2.5,509,14.75,53,90,18.3
SVN,705,ISO 3166-2:SI,150,39,157,Slovenia,Europe,Southern Europe,Men,,,89,6.2,73,93.1,0.5,,,,5,78.2,6,3.1,,91,,68,,502,15.27,,90,17.7
SVN,705,ISO 3166-2:SI,150,39,156,Slovenia,Europe,Southern Europe,Low,,,,,,,,,,,10.55,,,,,,,53,,472,,,,
SVN,705,ISO 3166-2:SI,150,39,155,Slovenia,Europe,Southern Europe,High,,,,,,,,,,,3.84,,,,,,,76,,552,,,,
ZAF,710,ISO 3166-2:ZA,2,18,162,South Africa,Africa,Southern Africa,Women,,,74,13.32,38,27.5,3.6,,,,,59.5,4.7,19.05,,88,,,,,14.37,,64,
ZAF,710,ISO 3166-2:ZA,2,18,161,South Africa,Africa,Southern Africa,Total,22,37,73,18.12,43,36.1,13.7,,,18,,57.5,4.7,16.46,,88,,,,,14.92,73,67,
ZAF,710,ISO 3166-2:ZA,2,18,160,South Africa,Africa,Southern Africa,Men,,,73,22.08,49,45.4,24.7,,,,,55.5,4.7,14.42,,88,,,,,15.02,,70,
ESP,724,ISO 3166-2:ES,150,39,172,Spain,Europe,Southern Europe,Women,,,62,2.15,57,79.7,0.5,,,,25,86.3,6.4,8.82,,94,,70,,491,15.48,,74,18.2
ESP,724,ISO 3166-2:ES,150,39,171,Spain,Europe,Southern Europe,Total,11,0.1,59,4.01,62,82.1,0.6,23999,373548,21,23.1,83.4,6.3,7.66,38507,93,1.9,72,1.8,491,15.93,70,72,17.9
ESP,724,ISO 3166-2:ES,150,39,170,Spain,Europe,Southern Europe,Men,,,56,5.73,68,84.7,0.7,,,,21.1,80.5,6.2,6.65,,93,,75,,492,16.17,,71,17.6
ESP,724,ISO 3166-2:ES,150,39,169,Spain,Europe,Southern Europe,Low,,,,,,,,,,,36.71,,6,,,91,,71,,453,,,,
ESP,724,ISO 3166-2:ES,150,39,168,Spain,Europe,Southern Europe,High,,,,,,,,,,,13.05,,,,,,,82,,535,,,,
SWE,752,ISO 3166-2:SE,150,154,177,Sweden,Europe,Northern Europe,Women,,,84,0.59,75,63.2,0.5,,,,2.4,84.1,7.3,0.92,,92,,72,,504,15.23,,96,20.1
SWE,752,ISO 3166-2:SE,150,154,176,Sweden,Europe,Northern Europe,Total,6,0,83,1.07,77,75.6,0.9,31287,,19,3.2,82.4,7.3,1.12,42393,91,1.7,75,2,496,15.18,86,96,19.3
SWE,752,ISO 3166-2:SE,150,154,175,Sweden,Europe,Northern Europe,Men,,,82,1.54,78,87.9,1.3,,,,3.9,80.6,7.3,1.3,,91,,78,,488,15.12,,96,18.5
SWE,752,ISO 3166-2:SE,150,154,174,Sweden,Europe,Northern Europe,Low,,,,,,,,,,,9.51,,,,,,,64,,454,,,,
SWE,752,ISO 3166-2:SE,150,154,173,Sweden,Europe,Northern Europe,High,,,,,,,,,,,2.15,,7.7,,,92,,86,,543,,,,
CHE,756,ISO 3166-2:CH,150,155,182,Switzerland,Europe,Western Europe,Women,,,86,0.29,75,81.9,0.5,,,,,85.6,7.5,2,,93,,76,,508,,,96,17.4
CHE,756,ISO 3166-2:CH,150,155,181,Switzerland,Europe,Western Europe,Total,15,0.1,88,0.37,80,85.3,0.6,37466,,22,,83.7,7.5,1.82,62283,93,1.9,78,2.3,506,,49,95,17.5
CHE,756,ISO 3166-2:CH,150,155,180,Switzerland,Europe,Western Europe,Men,,,89,0.45,84,88.8,0.7,,,,,81.7,7.5,1.66,,94,,80,,505,,,95,17.6
CHE,756,ISO 3166-2:CH,150,155,179,Switzerland,Europe,Western Europe,Low,,,,,,,,,,,,,,,,,,67,,460,,,,
CHE,756,ISO 3166-2:CH,150,155,178,Switzerland,Europe,Western Europe,High,,,,,,,,,,,,,,,,,,86,,558,,,,
TUR,792,ISO 3166-2:TR,142,145,187,Turkey,Asia,Western Asia,Women,,,35,24.48,32,52.4,0.5,,,,14.9,80.7,5.5,3.94,,86,,65,,429,14.2,,65,18
TUR,792,ISO 3166-2:TR,142,145,186,Turkey,Asia,Western Asia,Total,20,8,39,32.64,52,59.8,1.4,,,20,12.5,78,5.5,2.39,,86,1,69,1.5,425,14.79,86,65,18.3
TUR,792,ISO 3166-2:TR,142,145,185,Turkey,Asia,Western Asia,Men,,,43,36.01,71,67.3,2.2,,,,10.2,75.3,5.4,1.65,,86,,74,,420,14.97,,65,18.6
TUR,792,ISO 3166-2:TR,142,145,184,Turkey,Asia,Western Asia,Low,,,,,,,,,,,11.22,,5.2,,,82,,66,,400,,,,
TUR,792,ISO 3166-2:TR,142,145,183,Turkey,Asia,Western Asia,High,,,,,,,,,,,11.48,,6,,,90,,78,,460,,,,
GBR,826,ISO 3166-2:GB,150,154,192,United Kingdom,Europe,Northern Europe,Women,,,81,6.56,70,74.3,0.1,,,,4.2,83,6.7,0.95,,94,,69,,502,14.86,,85,18
GBR,826,ISO 3166-2:GB,150,154,191,United Kingdom,Europe,Northern Europe,Total,11,0.3,81,12.15,75,77.7,0.2,28715,548392,26,4.5,81.2,6.8,1.13,43732,94,1.9,69,3.1,500,14.92,69,84,17.5
GBR,826,ISO 3166-2:GB,150,154,190,United Kingdom,Europe,Northern Europe,Men,,,81,17.66,80,81.3,0.2,,,,4.9,79.4,6.9,1.3,,94,,69,,498,14.97,,82,17
GBR,826,ISO 3166-2:GB,150,154,189,United Kingdom,Europe,Northern Europe,Low,,,,,,,,,,,7.02,,6.8,,,,,60,,466,,,,
GBR,826,ISO 3166-2:GB,150,154,188,United Kingdom,Europe,Northern Europe,High,,,,,,,,,,,3.1,,7.1,,,,,83,,546,,,,
USA,840,ISO 3166-2:US,19,21,197,United States,Americas,Northern America,Women,,,91,6.67,65,63.8,2.2,,,,7.6,81.1,6.9,0.63,,92,,87,,488,14.4,,83,17.7
USA,840,ISO 3166-2:US,19,21,196,United States,Americas,Northern America,Total,10,0.1,91,11.09,70,73.9,5.5,45284,632100,19,7.7,78.6,6.9,0.66,60558,91,2.4,88,3.1,488,14.44,65,83,17.2
USA,840,ISO 3166-2:US,19,21,195,United States,Americas,Northern America,Men,,,90,15.21,75,84,8.8,,,,7.8,76.1,6.8,0.68,,89,,89,,487,14.48,,82,16.7
USA,840,ISO 3166-2:US,19,21,194,United States,Americas,Northern America,Low,,,,,,,,,,,17.91,,,,,,,74,,450,,,,
USA,840,ISO 3166-2:US,19,21,193,United States,Americas,Northern America,High,,,,,,,,,,,4.35,,7.4,,,95,,96,,534,,,,
